,PM2.5,Land_EQI,Sociod_EQI,Built_EQI,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,smoking_data,LCI_smoking,UCI_smoking
1003,10.58,-1.540159,-1.298936,-0.5028645,12,5.51,93.0524397,273.9067191,2559.73,221.7196918,0.0199971,0.178407,0.00037,0.154102,-1.551614,-1.35,30.3,26.3,35.2
410,13.38,-0.3150232,2.072897,-0.1453285,48,17.37,78.1088937,702.2198168,5550.93,167.2248396,0.0510585,0.8416544,0.00121,1.001722,0.119453,1.03,24.5,21.0,28.5
1109,12.02,-0.1278888,-1.159131,0.453966,16,6.84,28.0016217,165.7540017,1662.1,74.2962496,0.0305233,0.2511966,0.000698,0.6627386,-1.545976,-0.37,21.0,17.9,24.5
968,10.93,0.2670137,-0.108,1.153889,45,6.25,82.2360822,501.8912569,2983.74,229.7374942,0.0494032,0.6479693,0.00202,0.8855956,-1.597104,0.46,25.3,22.5,28.3
633,10.35,0.862049,1.265666,-0.8603259,49,7.95,141.8885771,491.4303035,4087.2,235.5533462,0.0054921,0.4176387,0.0167,-0.147009,0.01861,0.36,29.0,25.0,33.8
818,8.72,1.043081,0.4707975,0.9694933,41,14.75,134.8896064,259.0848756,3770.14,166.8180242,0.0271542,0.8936958,0.000859,0.7010625,0.5158071,1.17,28.1,24.7,31.7
1327,5.39,0.5477573,0.2273999,-0.5033349,22,5.06,17.5079605,126.0506273,2042.12,61.1804145,0.0002215,0.1210036,8.4e-06,-1.455766,0.5899477,-0.34,26.3,22.0,30.8
430,10.82,-0.7424258,-0.7025034,-0.5518326,11,14.79,83.9251649,420.0213802,5068.88,503.4141762,0.0054724,0.1591167,0.000108,-0.3030494,0.8238252,-0.63,27.1,23.2,31.5
1413,5.55,-0.0746725,-0.6882368,-0.5952076,10,7.12,14.0862339,410.9635639,1675.07,277.0052404,0.0020794,0.0847793,4.99e-05,-1.082497,0.4178724,-0.8,27.0,22.9,31.4
1302,8.15,1.101801,0.6099138,-0.6607544,50,9.19,69.4218147,204.6866379,2955.15,76.7909011,0.0021208,0.2494261,2.68e-05,-1.29926,0.8834717,0.01,23.3,19.6,27.3
1166,9.28,-0.4331467,-0.6120086,-0.4795668,11,6.42,95.3282906,399.1001681,2525.65,352.3386613,0.0044883,0.1874405,0.00265,-0.3323126,0.0755217,-0.63,32.6,28.4,37.1
463,12.24,-1.019346,-1.431388,-0.5924897,7,15.31,43.3512621,167.3376501,2408.07,32.8011321,0.0043128,0.1712498,0.000386,-0.3421189,-0.3415873,-1.23,27.6,23.3,32.0
579,11.42,0.8224406,0.7804805,0.8135175,41,13.09,144.9823142,495.0106324,3555.62,184.1238388,0.0098756,0.6524436,0.000148,0.5016693,1.022785,1.19,27.4,23.0,31.8
1460,8.86,0.5737357,1.51459,0.8870714,44,7.8,289.3808997,267.4488607,4388.07,466.0839833,0.0448565,0.3810049,0.000754,1.028627,0.8752427,1.59,23.5,20.0,27.1
1696,11.69,0.9131459,1.11623,-0.0409536,46,19.27,292.9599361,446.7581209,7776.85,849.0618368,0.0136446,0.4582719,0.000311,0.4113677,0.1791625,0.84,30.1,25.5,35.1
2311,11.67,0.2101491,0.5261304,-0.7572042,50,17.31,507.6638135,1438.536516,8529.1,1463.13096,0.0177045,0.2844526,0.000377,0.3084584,1.042921,0.29,27.8,23.7,32.1
1631,13.06,0.725203,1.675693,-0.1648442,46,15.54,514.2558134,329.9809833,8608.24,1135.445373,0.0546128,0.6306949,0.00155,1.256695,0.2231958,1.26,26.1,22.4,30.3
2015,12.39,0.3221787,-0.6288065,-0.5136199,26,10.54,664.1519808,779.1587068,9643.93,809.6837586,0.0121158,0.2729433,0.000181,-0.0644585,-0.3235061,-0.42,32.3,27.7,37.1
1146,9.74,-0.1269184,-1.116753,0.5257473,16,8.23,411.0519137,453.570594,4638.61,340.4274616,0.0035298,0.1538936,4.86e-05,-0.7342923,0.9000713,-0.36,31.4,27.1,36.4
691,12.29,-0.1159959,0.2229054,0.1153074,24,18.45,174.8268656,759.3347371,6822.66,274.2239022,0.0267671,0.5471284,0.000481,0.9333469,0.8183505,0.57,32.2,27.6,36.9
597,11.5,0.4147264,0.6647574,0.3457613,21,8.92,225.6002159,204.5645988,3400.7,226.7931797,0.0072307,0.3963104,0.000133,0.1603488,1.168099,0.77,26.2,21.9,30.8
1247,10.01,-0.0004029,0.5200087,-0.6552008,22,9.55,184.4457322,495.1044437,3501.04,449.2377791,0.0155816,0.3503061,0.000727,0.2902458,0.060918,0.07,29.3,25.3,33.9
